urn,author,date
urn:cts:greekLit:tlg0111,"Andronicus, Epigrammaticus, 3. Jh. v. Chr./1. Jh. n. Chr.",300 BCE-100 CE
urn:cts:greekLit:tlg1124,"Andronicus, of Rhodes",100 BCE
urn:cts:greekLit:tlg1125,"Androtiōn, fl. 4th cent. B.C.",400 BCE
urn:cts:greekLit:tlg4289,Lexica Segueriana,Varia
urn:cts:greekLit:tlg4290,Lexicon Artis Grammaticae,500 CE-1000 CE
urn:cts:greekLit:tlg1139,Anonymi Historici (FGrH),n.a.
urn:cts:greekLit:tlg0598,Rhetorica Anonyma,Varia
urn:cts:greekLit:tlg0092,Anonymi Geographiae,
urn:cts:greekLit:tlg4027,Anonymi in Aristotelis Categorias,14 CE
urn:cts:greekLit:tlg4033,Anonymi in Aristotelis in Ethica Nichomachea,Varia
urn:cts:greekLit:tlg4026,Anonymi in Aristotelis Artem Rhetoricam,Varia
urn:cts:greekLit:tlg4193,Anonymi in Aristotlis Sophisticos Elenchos,1000 CE-1400 CE
urn:cts:greekLit:tlg1128,Anonymi Commentarius in Platonis Theaetetum,200 CE
urn:cts:greekLit:tlg4037,Anonymi Paradoxographi,Varia
urn:cts:greekLit:tlg2029,Anonymi Geographia in Sphaera Intelligenda,post 200 CE
urn:cts:greekLit:tlg1134,Anonymous Iamblichi,500 BCE-400 BCE
urn:cts:greekLit:tlg0582,Paradoxographus Vaticanus,200 CE
urn:cts:greekLit:tlg0215,"Antagoras, Rhodius, um 276 v. Chr.",300 BCE
urn:cts:greekLit:tlg2389,"Antander, Syracusanus, 4./3. Jh. v. Chr",400 BCE-300 BCE
urn:cts:greekLit:tlg2322,"Antenor, Creticus, ca. 2. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg4088,"Anthemios, ho Trallianos, 6th cent.",500 CE-600 CE
urn:cts:greekLit:tlg1140,"Anticlides, Atheniensis, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0409,"Antidotus, Comicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0139,"Antigenes, Atheniensis, 5. Jh. v. Chr",500 BCE
urn:cts:greekLit:tlg0568,"Antigonus, of Carystus, fl. 240 B.C.",300 BCE
urn:cts:greekLit:tlg2547,"Antigonus, Historicus, v3. Jh",300 BCE
urn:cts:greekLit:tlg1142,"Antigonus, Nicaenus, ca. 2./3. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg2173,"Antileon, Historicus, ca. 2./1.Jh.v.Chr",200 BCE-100 BCE
urn:cts:greekLit:tlg0239,"Antimachus, of Colophon",500 BE-400 BCE
urn:cts:greekLit:tlg1993,"Antiochianus, Historicus, 2. Jh",200 CE
urn:cts:greekLit:tlg1144,"Antiochus, Atheniensis, 1.Jh. v. Chr./1. Jh. n. Chr.",100 BCE-100 CE
urn:cts:greekLit:tlg0044,Antiochus Epistolographus,300 CE/200 CE
urn:cts:greekLit:tlg0112,"Antiochus, Epigrammaticus,1./2. Jh. n. Chr.",100 CE-200 CE
urn:cts:greekLit:tlg1879,"Antiochus, Historicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1145,"Antiochus, Syracusanus. fl. 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1865,"Antipater, Epigr.",Unknown
urn:cts:greekLit:tlg2350,"Antipater, Historicus, v2. Jh. / 1. Jh",200 BCE-100 CE
urn:cts:greekLit:tlg1929,"Antipater, Macedo, ca. 399/398 v. Chr. - 319 v. Chr.",400 BCE
urn:cts:greekLit:tlg0113,"Antipater, of Sidon, fl. ca. 100 B.C.",200 BCE-100 BCE
urn:cts:greekLit:tlg1146,"Antipater, Tarsensis, um 140 v. Chr.",200 BCE
urn:cts:greekLit:tlg0114,"Antipater, of Thessalonica, fl. 11 B.C.-12 A.D.",100 BCE-100 CE
urn:cts:greekLit:tlg0410,Antiphanes,500 BE-400 BCE
urn:cts:greekLit:tlg0117,"Antiphanes, Macedo, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg0118,"Antiphilus, Byzantius, 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg0028,"Antiphon, ca. 480-411 B.C.",500 BCE
urn:cts:greekLit:tlg1147,"Antiphon, of Athens",500 BCE
urn:cts:greekLit:tlg0323,"Antiphon, Tragicus, d 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg2351,"Antisthenes, Rhodius, v2. Jh",300 BCE-200 BCE
urn:cts:greekLit:tlg0591,"Antisthenes,ca. 445-ca. 360 B.C.",500 BCE-400 BCE
urn:cts:greekLit:tlg2313,"Antisthenes, Philosophus, 5-4 B.C.",500 BCE-400 BCE
urn:cts:greekLit:tlg0119,"Antistius, Epigrammaticus, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg1149,"Antoninus Pius, Emperor of Rome, 86-161",100 CE-200 CE
urn:cts:greekLit:tlg0651,"Antoninus, Liberalis, 2nd cent.",200 CE-300 CE
urn:cts:greekLit:tlg0120,"Antonius, Argivus, 1. Jh. n. Chr",100 CE
urn:cts:greekLit:tlg1148,Antonius Diogenes,0 CE-200 CE
urn:cts:greekLit:tlg0749,"Antyllus, Medicus, 2. Jh. n. Chr.",100 CE-400 CE
urn:cts:greekLit:tlg1126,"Anubion, Poeta Astrologus, 1. Jh. n. Chr.",100 CE
