urn,author,date
urn:cts:greekLit:tlg1304,"Democritus, ca. 460-ca. 370 B.C.",500 BCE-400 BCE
urn:cts:greekLit:tlg1306,"Bolus, Mendesius, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg4390,"Democles, Historicus, 5. Jh. v. Chr",500 BCE
urn:cts:greekLit:tlg1305,"Democritus, Ephesius,  3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg2299,"Demodamus, Halicarnassensis, 4./3. Jh. v. Chr",400 BCE-300 BCE
urn:cts:greekLit:tlg0245,"Demodocus,  Lerius, 6. Jh. v. Chr.",600 BCE
urn:cts:greekLit:tlg2308,"Demognetus, Historicus, ca. 2.Jh.n.Chr",200 CE
urn:cts:greekLit:tlg1307,"Demon, Atheniensis,  4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0441,"Demonicus, Comicus, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg0349,"Demonax, Tragicus, 5. Jh. n. Chr",500 BCE
urn:cts:greekLit:tlg1759,Demophilus/Sententiae Pythagoreorum,100 CE-300 CE
urn:cts:greekLit:tlg0014,Demosthenes,400 BCE
urn:cts:greekLit:tlg1819,"Demosthenes (Pseudo), Epigrammaticus, Person der Antike",Unknown
urn:cts:greekLit:tlg1308,"Demosthenes, Bithynius, ca. 2./1. Jh. v. Chr.",200 BCE-100 BCE
urn:cts:greekLit:tlg0689,"Demosthenes, Ophthalmicus, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg2281,Demoteles,Unknown
urn:cts:greekLit:tlg2196,Dercylus Historicus,Unknown
urn:cts:greekLit:tlg0442,"Dexicrates, Comicus, 4./2. Jh. v. Chr",300 BCE
urn:cts:greekLit:tlg2141,"Dexippus, Publius Herennius",300 CE
urn:cts:greekLit:tlg2036,"Dexippus, the Platonist",400 CE
urn:cts:greekLit:tlg2775,"Diadochus, Bishop of Photice, active 5th century",500 CE
urn:cts:greekLit:tlg0371,"Diagoras, of Melos",500 BCE
urn:cts:greekLit:tlg1309,Dialexeis Phil.,500 BCE
urn:cts:greekLit:tlg0066,"Dicaearchus, Messenius, 4th cent. B.C.",400 BCE
urn:cts:greekLit:tlg0322,"Dicaeogenes, Tragicus, 5./4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1310,"Dictys, Cretensis",200 CE-300 CE
urn:cts:greekLit:tlg2618,Didymarchus Poeta,400 BCE
urn:cts:greekLit:tlg1312,"Didymus, Chalcenterus",100 BCE
urn:cts:greekLit:tlg0357,Didymus Alexandrinus 1. Jh. v. Chr./1.Jh. n. Chr,100 BCE-100 CE
urn:cts:greekLit:tlg2102,"Didymus, the Blind, approximately 313-approximately 398",400 CE
urn:cts:greekLit:tlg0856,"Dieuches, Medicus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1313,Dieuchidas Megarensis 4. Jh. v. Chr.,400 BCE
urn:cts:greekLit:tlg0029,Dinarchus,400 BCE-300 BCE
urn:cts:greekLit:tlg2280,"Dinarchus, Delius, v4. Jh",400 BCE
urn:cts:greekLit:tlg1314,"Dinias, Argivus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1315,"Dinolochus, Comicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1316,"Dinon, of Colophon",400 BCE
urn:cts:greekLit:tlg0385,Cassius Dio Cocceianus,155 CE-235 CE
urn:cts:greekLit:tlg0612,"Dio, Chrysostom",100 CE-200 CE
urn:cts:greekLit:tlg1327,Dionis Epistulae,Unknown
urn:cts:greekLit:tlg0162,"Diocles, Rhetor, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg0443,"Diocles, Comicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg0664,"Diocles, of Carystus",400 BCE-300 BCE
urn:cts:greekLit:tlg2549,"Diocles, Peparethius, 3. Jh. v. Chr",300 BCE
urn:cts:greekLit:tlg2206,"Diocles, Rhodius, Person der Antike",
urn:cts:greekLit:tlg0444,"Diodorus, Sinopensis,  3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg0163,"Diodorus, Epigrammaticus, 1. Jh. v. Chr./1. Jh. n. Chr.",100 BCE-100 CE
urn:cts:greekLit:tlg0165,"Diodorus, Sardianus, fl.1. Jh. v. Chr.",100 CE
urn:cts:greekLit:tlg1318,"Diodorus, Rhetor, Person der Antike",Unknown
urn:cts:greekLit:tlg2265,"Diodorus, Periegeta, um 300 v. Chr.",300 BCE
urn:cts:greekLit:tlg0060,"Diodorus, Siculus",100 BCE
urn:cts:greekLit:tlg0166,"Diodorus, Aristophaneus, 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg2383,Diodorus Tyrius ca. 2. Jh. v. Chr.,200 BCE
urn:cts:greekLit:tlg2652,Diodorus Elegiacus,100 BCE
urn:cts:greekLit:tlg2681,Diodorus Aspendius v4. Jh,400 BCE
urn:cts:greekLit:tlg4134,"Diodore, of Tarsus, Bishop of Tarsus, -approximately 392",400 CE
urn:cts:greekLit:tlg1319,"Diogenes, of Apollonia, 5th cent. B.C.",500 BCE
urn:cts:greekLit:tlg0320,"Diogenes, Atheniensis, 5. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg1320,"Diogenes, Babylonius, v240-v152",300 BCE-200 BCE
urn:cts:greekLit:tlg2128,"Diogenes, Bishop of Amisus",600 CE
urn:cts:greekLit:tlg2328,"Diogenes, Cyzicenus",400 CE-500 CE
urn:cts:greekLit:tlg0004,Diogenes Laertius,300 CE
urn:cts:greekLit:tlg1321,"Diogenes, of Oenoanda",200 CE
urn:cts:greekLit:tlg0334,"Diogenes, Sinopensis, v400-v323",500 BCE-400 BCE
urn:cts:greekLit:tlg1325,"Diogenes, Sinopensis, v400-v323 (attributed author)",500 BCE-400 BCE
urn:cts:greekLit:tlg2314,"Diogenes, of Smyrna",500 BCE
urn:cts:greekLit:tlg0097,"Diogenianus, of Heraclea, 2nd cent.",200 CE
urn:cts:greekLit:tlg1322,"Diogenianus,  Epicureus, 2. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg0167,"Dionysius, Epigrammaticus, Person der Antike",Unknown
urn:cts:greekLit:tlg0168,"Dionysius, Andrius, ca. 2. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg4184,"Dionysius, Antiochenus, ca. 5./6. Jh",500 CE-600 CE
urn:cts:greekLit:tlg1324,"Dionysius, Argivus, 4./3. Jh. v. Chr",400 BCE-300 BCE
urn:cts:greekLit:tlg0083,"Dionysius, of Byzantium",100 CE-200 CE
urn:cts:greekLit:tlg5018,Scholia in Dionysium Byzantium,Varia
urn:cts:greekLit:tlg0069,"Dionysius, Calliphontis",200 CE
urn:cts:greekLit:tlg1328,"Dionysius, Chalcidensis, v4./2. Jh",400 BCE-200 BCE
urn:cts:greekLit:tlg0246,"Dionysius, Chalcus, 5. Jh. v. Chr",500 BCE
urn:cts:greekLit:tlg0169,"Dionysius, Cyzicenus, 3./2. Jh. v. Chr.",300 BCE-200 BCE
urn:cts:greekLit:tlg0081,"Dionysius, of Halicarnassus",100 BCE-0 CE
urn:cts:greekLit:tlg2185,"Dionysius, Heracleensis, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg2466,"Dionysius, Milesius",500 BCE
urn:cts:greekLit:tlg0330,"Dionysius, I, ca. 430-367 B.C.",500 BCE-400 BCE
urn:cts:greekLit:tlg0247,"Dionysius, the Younger",
urn:cts:greekLit:tlg0084,"Dionysius, Periegetes",100 CE
urn:cts:greekLit:tlg5019,Scholia in Dionysium Periegetam,Varia
urn:cts:greekLit:tlg0170,"Dionysius, Rhodius, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg2354,"Dionysius, Samius, 3./2. Jh. v. Chr.",300 BCE-200 BCE
urn:cts:greekLit:tlg0445,"Dionysius,  Sinopensis, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg1881,"Dionysius, Scytobrachion",300 BCE
urn:cts:greekLit:tlg0171,Dionysius Sophista 1./2. Jh. n. Chr,100 CE-200 CE
urn:cts:greekLit:tlg0063,"Dionysius, Thrax",200 BCE
urn:cts:greekLit:tlg4175,Commentaria in Dionysii Thracis Artem Grammaticam,Varia
urn:cts:greekLit:tlg1909,Dionysodorus Troezenius 2. Jh. v. Chr,200 BCE
urn:cts:greekLit:tlg0172,"Diophanes, Myrinus, 1 Jh. V. Chr.",100 CE
urn:cts:greekLit:tlg2039,"Diophantus, of Alexandria",300 CE
urn:cts:greekLit:tlg0395,"Diophantus, Comicus, Person der Antike",Unknown
urn:cts:greekLit:tlg2539,"Diophantus, Historicus, v3. Jh",300 BCE
urn:cts:greekLit:tlgnull,,
urn:cts:greekLit:tlg0173,"Dioscorides, 3rd cent. B.C.",300 BCE
urn:cts:greekLit:tlg2409,"Dioscorides, Historicus, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0656,"Dioscorides Pedanius, of Anazarbos",100 CE
urn:cts:greekLit:tlg1118,Pseudo-Dioscorides,100 CE
urn:cts:greekLit:tlg2621,"Diophilus Poeta v4./3. Jh.",400 BCE-300 BCE
urn:cts:greekLit:tlg0174,"Diotimus, Adramyttenus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg0175,"Diotimus, Atheniensis,  4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0176,"Diotimus, Milesius,  1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg2340,Diotimus,400 BCE
urn:cts:greekLit:tlg1332,"Diotogenes, Philosophus, 4. Jh. v. Chr./2. Jh. n. Chr.",400 BCE-200 CE
urn:cts:greekLit:tlg0446,"Dioxippus, Comicus, 4./2. Jh. v. Chr.",400 BCE-200 BCE
urn:cts:greekLit:tlg0177,Diphilus Atheniensis,400 BCE-300 BCE
urn:cts:greekLit:tlg0248,Diphilus Iambographus 5. Jh. v. Chr,500 BCE
urn:cts:greekLit:tlg0447,"Diphilus, of Sinope, 4th cent. B.C.",400 BCE-300 BCE
urn:cts:greekLit:tlg0872,"Diphilus, Siphnius, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1334,"Dius, Philosophus, Person der Antike",Unknown
urn:cts:greekLit:tlg1911,Diyllus Atheniensis um 330 - 290 v. Chr.,"400 BCE-300 BCE"
urn:cts:greekLit:tlg2622,Dorieus Poeta,200 CE
urn:cts:greekLit:tlg1335,"Dorion, Scriptor Rerum Naturalium,  1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg1337,"Dorotheus, of Sidon",100 CE
urn:cts:greekLit:tlg0208,"Dosiadas, Cretensis, 3./2. Jh. v. Chr.",300 BCE-200 BCE
urn:cts:greekLit:tlg1338,"Dosiadas, Cydonius, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg4096,"Dositheus, Magister",400 CE
urn:cts:greekLit:tlg1896,"Dositheus, Historicus, Person der Antike",Unknown
urn:cts:greekLit:tlg2249,"Draco, Atheniensis, v2. Jh",200 CE?
urn:cts:greekLit:tlg0448,"Dromo, Comicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0178,"Duris, Eleaticus, 4./3. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1339,"Duris, of Samos, ca. 340-ca. 260 B.C.",400 BCE-300 BCE
urn:cts:greekLit:tlg2242,Echecrates Philosophus  v5./4. Jh.,500 BCE-400 BCE
urn:cts:greekLit:tlg0249,"Echembrotus Lyricus, 6. Jh. v. Chr",600 BCE
urn:cts:greekLit:tlg2320,"Echemenes, Cretensis, ca. 3.Jh.n.Chr",300 CE
urn:cts:greekLit:tlg2289,"Echephylidas, Historicus,   v4./3. Jh.",400 BCE-300 BCE
urn:cts:greekLit:tlg0449,"Ecphantides, Comicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1341,"Ecphantus, de Syracuse",400 BCE
urn:cts:greekLit:tlg0231,Elegiaca Adespota (CA),
urn:cts:greekLit:tlg4020,"Elias, Neoplatonist",600 CE
urn:cts:greekLit:tlg1897,Eleusis Historicus,300 BCE
urn:cts:greekLit:tlg1342,Empedocles,500 BCE
urn:cts:greekLit:tlg4161,Vitae Arati et Varia de Arato,500 BCE
urn:cts:greekLit:tlg1984,"Empylus, Rhodius, v1. Jh",100 BCE
urn:cts:greekLit:tlg1463,"Enoch, (Biblical Figure)",200 BCE-100 BCE
urn:cts:greekLit:tlg1343,"Eparchides, Oeneius,v3. Jh",300 BCE
urn:cts:greekLit:tlg0450,"Ephippus, Comicus, um 370 v. Chr.",400 BCE
urn:cts:greekLit:tlg1936,Ephippus Olynthus ca. v4. Jh.,"400 BCE"
urn:cts:greekLit:tlg0536,Ephorus,400 BCE
urn:cts:greekLit:tlg1998,Ephorus Iunior,300 BCE
urn:cts:greekLit:tlg4138,"Ephraem, Syrus, Saint, 303-373",400 CE
urn:cts:greekLit:tlg0521,"Epicharmus, 5th cent. B.C.",500 BCE
urn:cts:greekLit:tlg0451,"Epicrates, Comicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0557,Epictetus,100 CE-200 CE
urn:cts:greekLit:tlg0537,Epicurus,400 BCE-300 BCE
urn:cts:greekLit:tlg0452,"Epigenes, Comicus, 6./4. Jh. v. Chr.",600 BCE-400 BCE
urn:cts:greekLit:tlg1351,Epigoni Epic.,
urn:cts:greekLit:tlg0179,"Epigonus, Thessalonicensis , 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg0453,Epilycus Comicus 5./4. Jh. v. Chr.,500BCE- 400 BCE
urn:cts:greekLit:tlg1347,Epimenides,600 BCE
urn:cts:greekLit:tlg0454,"Epinicus, Comicus, 3./2. Jh. v. Chr.",300 BCE-200 BCE
urn:cts:greekLit:tlg2021,"Epiphanius, Saint, Bishop of Constantia in Cyprus, approximately 310-403",400 CE
urn:cts:greekLit:tlg0690,"Erasistratus, of Ceos, 3rd cent. B.C.",400 BCE-300 BCE
urn:cts:greekLit:tlg0222,Eratosthenes,300 BCE-200 BCE
urn:cts:greekLit:tlg4063,"Eratosthenes, Scholasticus, d 6. Jh.",600 CE
urn:cts:greekLit:tlg2149,"Eretes, Historicus, v3. Jh",300 BCE
urn:cts:greekLit:tlg1354,"Ergias Rhodius, v4. Jh",400 BCE
urn:cts:greekLit:tlg1355,Erinna,400 BCE
urn:cts:greekLit:tlg0455,"Eriphus, Comicus 4. Jh. v. Chr",400 BCE
urn:cts:greekLit:tlg0716,"Erotianus, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg2312,"Erxias, Historicus,ca. 2.Jh.v.Chr",200 BCE
urn:cts:greekLit:tlg0180,"Erycius, Cyzicenus, 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg0181,"Etruscus, Epigrammaticus, d ca. 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg0456,"Evangelus, Comicus, ca. 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1800,"Euboeus, Parius, 5./4. Jh. v. Chr",500 BCE-400 BCE
urn:cts:greekLit:tlg0457,"Eubulides, Comicus, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg0458,Eubulus,400 BCE
urn:cts:greekLit:tlg1799,Euclid,300 BCE
urn:cts:greekLit:tlg5022,Scholia in Euclidem,
urn:cts:greekLit:tlg0250,Euclides Iambographus,500 BCE
urn:cts:greekLit:tlg2356,"Eucrates, Historicus, ca. 3.Jh. n. Chr.",300 CE
urn:cts:greekLit:tlg2343,"Eudemus, Naxius, ca. 5.Jh.v.Chr",500 BCE
urn:cts:greekLit:tlg0888,Eudemus Medicus,
urn:cts:greekLit:tlg1376,Eudemus Rhetor,200 CE
urn:cts:greekLit:tlg1357,"Eudemus, of Rhodes",400 BCE
urn:cts:greekLit:tlg2766,"Eudocia, Empress, consort of Theodosius II, Emperor of the East, -460",500 CE
urn:cts:greekLit:tlg1358,"Eudoxus, of Cnidus, ca. 400-ca. 350 B.C.",500 BCE-400 BCE
urn:cts:greekLit:tlg1915,"Eudoxus, Rhodius, v3. Jh",300 BCE
urn:cts:greekLit:tlg0399,"Eudoxus, Comicus, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg2399,"Eudromus, Philosophus, 2. Jh. v. Chr",200 BCE
urn:cts:greekLit:tlg2372,"Eugaeon, Samius, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg0184,"Eugenes, Epigrammaticus, d 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1972,"Eumachus, Neapolitanus,3./2. Jh. v. Chr",300 BCE-200 BCE
urn:cts:greekLit:tlg1361,Eumedes Comicus 2./1. Jh. v. Chr,300 BCE
urn:cts:greekLit:tlg0298,"Eumelus, Corinthius, 8./7. Jh. v. Chr.",800 BCE-700 BCE
urn:cts:greekLit:tlg2050,"Eunapius, ca. 345-ca. 420",400 CE-500 CE
urn:cts:greekLit:tlg0459,"Eunicus, Comicus, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg2899,"Eunomius, Bishop of Cyzicus, 335-394",400 CE
urn:cts:greekLit:tlg0185,"Evodus, Epigrammaticus, 2./3. Jh. n. Chr.",100 CE-300 CE
urn:cts:greekLit:tlg0396,"Euphanes Comicus, 4./2. Jh. v. Chr",400 BCE-200 BCE
urn:cts:greekLit:tlg1912,"Euphantus, Olynthius, 4./3. Jh. v. Chr",400 BCE-300 BCE
urn:cts:greekLit:tlg0221,"Euphorion, of Chalcis, b. ca. 276 B.C.",300 BCE
urn:cts:greekLit:tlg0460,"Euphro, Comicus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg0210,"Euphronius, Chersonensis, 3. Jh. v. Chr",300 BCE
urn:cts:greekLit:tlg2129,"Eupithius, Atheniensis, 3. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg0461,"Eupolis, ca. 446-411 B.C.",500 BCE
urn:cts:greekLit:tlg0006,Euripides,500 BCE
urn:cts:greekLit:tlg1367,Euripidis Epistulae,500 BCE
urn:cts:greekLit:tlg5023,Euripides. Scholia.,Varia
urn:cts:greekLit:tlg1840,Euripides II,500 BCE
urn:cts:greekLit:tlg1360,"Euryphamus, 3 Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1362,"Eurytus, Pythagoricus , v3. Jh.",300 BCE
urn:cts:greekLit:tlg2146,"Eusebius, Historicus, 3 Jh. N. Chr.",300 CE-400 CE
urn:cts:greekLit:tlg2018,"Eusebius, of Caesarea, Bishop of Caesarea, ca. 260-ca. 340",300 CE-400 CE
urn:cts:greekLit:tlg4124,"Eusebius, Bishop of Emesa, approximately 300-approximately 359",400 CE
urn:cts:greekLit:tlg2640,"Eusebius, Myndius, 4 Jh. n. Chr.",400 CE
urn:cts:greekLit:tlg3389,"Eusebius, monachus",400 CE-500
urn:cts:greekLit:tlg4117,"Eustathius, of Antioch, Saint, -approximately 337",400 CE
urn:cts:greekLit:tlg2637,"Eustathius, Epiphaniensis, 5. bzw. 5./6. Jh. n. Chr.",500 CE-600 CE
urn:cts:greekLit:tlg2499,"Eustochius, Cappadox 4. Jh.",400 BCE
urn:cts:greekLit:tlg4031,"Eustratius, Metropolitan of Nicaea",1100 CE-1200 CE
urn:cts:greekLit:tlg2873,"Eustratios, Presbyter, active 6th century",600 CE-700 CE
urn:cts:greekLit:tlg0752,Eutecnius,300 CE-500 CE
urn:cts:greekLit:tlg4025,"Eutherius, Tyanensis, active 5th century",500 CE
urn:cts:greekLit:tlg0462,"Euthycles, Comicus, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg0897,Euthydemus Atheniensis v2. Jh,200 BCE
urn:cts:greekLit:tlg2170,"Euthymenes, Massiliensis, v6. Jh",600 BCE-500 BCE
urn:cts:greekLit:tlg4072,"Eutocius, of Ascalon",500 CE-600 CE
urn:cts:greekLit:tlg4068,"Eutolmius, Epigrammaticus, 4./5. Jh. n. Chr.",400 CE-500 CE
urn:cts:greekLit:tlg2236,"Eutropius, active 4th cent.",400 CE
urn:cts:greekLit:tlg2158,"Eutychianus, Cappadox, d 4. Jh. n. Chr.",400 CE
urn:cts:greekLit:tlg2425,"Evagoras, Lindius, 1./3. Jh",100 CE-300 CE
urn:cts:greekLit:tlg4110,"Evagrius, Ponticus, 345?-399",400 CE
urn:cts:greekLit:tlg2773,"Evagrius, Scholasticus, 536?-",600 CE
urn:cts:greekLit:tlg2293,"Evalces, Ephesius ca. 3.Jh.v.Chr",300 BCE
urn:cts:greekLit:tlg2623,Evanthes Epicus ca. 2.Jh.n.Chr.,200 CE
urn:cts:greekLit:tlg1096,"Evaretus Tragicus v4. Jh.",400 BCE
urn:cts:greekLit:tlg0182,Evenus Ascalonius,100 BCE
urn:cts:greekLit:tlg0183,Evenus Atheniensis,100 BCE
urn:cts:greekLit:tlg0251,"Evenus, Parius, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg0343,"Ezekiel, 2nd cent. B.C.",200 BCE-100 BCE
urn:cts:greekLit:tlg1968,"Fabius, Ceryllianus, 3./4. Jh. n. Chr (attributed author)",300 CE-400 CE
urn:cts:greekLit:tlg2542,"Fabius Pictor, fl. 154-151 B.C",200 BCE
urn:cts:greekLit:tlg1377,"Favorinus, of Arles, ca. 81-ca. 150",100 CE-200 CE
urn:cts:greekLit:tlg0186,"Fronto, Marcus Cornelius",100 CE-200 CE
urn:cts:greekLit:tlg4069,"Gabriel, Constantinopolitanus, fl.6. Jh.",600 CE
urn:cts:greekLit:tlg0188,"Lentulus Gaetulicus, Cn. Cornelius, (Cneius Cornelius), d. 39 (attributed)",100 CE
urn:cts:greekLit:tlg0187,"Gaetulicus, Epigrammaticus, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg0057,Galen,200 CE
urn:cts:greekLit:tlg0530,Pseudo-Galenus,post 200 CE
urn:cts:greekLit:tlg0189,"Gallus, Gaius Cornelius, 69?-26 B.C.",100 BCE
urn:cts:greekLit:tlg1741,"Tudicius, Gallus, Person der Antike",
urn:cts:greekLit:tlg2137,"Gaudentius, Philosophus, 2./5. Jh. n. Chr.",200 CE-500 CE
urn:cts:greekLit:tlg0190,"Gauradas, Epigrammaticus, d 2./5. Jh. n. Chr.",200 CE-500 CE
urn:cts:greekLit:tlg2768,"Gelasius, of Cyzicus, active 475",500 CE
urn:cts:greekLit:tlg1383,Geminus,100 BCE
urn:cts:greekLit:tlg2762,"Gennadius I, Saint, Patriarch of Constantinople, active 458-471",500 CE
urn:cts:greekLit:tlg2701,"George, the Pisidian",600 CE-700 CE
urn:cts:greekLit:tlg4070,"Germanus, Epigrammaticus",
urn:cts:greekLit:tlg0191,"Germanicus Caesar, 15 B.C.-19 A.D.",100 BCE-100 CE
urn:cts:greekLit:tlg2191,"Glaucippus, Historicus, v300",300 BCE
urn:cts:greekLit:tlg0192,"Glaucus, Atheniensis, 2. Jh. v. Chr./3. Jh. n. Chr.",200 CE-300 CE
urn:cts:greekLit:tlg2460,"Glaucus, Historicus, vor 3. Jh",200 BCE-300 CE
urn:cts:greekLit:tlg0193,"Glaucus, Nicopolitanus, 2. Jh. v. Chr./3. Jh. n. Chr.",200 CE-300 CE
urn:cts:greekLit:tlg4391,Glaucus Rheginus um 400 v. Chr,500 BCE
urn:cts:greekLit:tlg0194,Glycon Epigrammaticus,Unknown
urn:cts:greekLit:tlg2255,"Gorgias, Atheniensis, v1. Jh. / 2. Jh",100 CE-200 CE
urn:cts:greekLit:tlg0593,"Gorgias, of Leontini",500 BCE-400 BCE
urn:cts:greekLit:tlg2357,"Gorgon, Rhodius, 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlg1763,Tryphon Grammaticus 1. Jh. v. Chr.,100 BCE
urn:cts:greekLit:tlg9006,"Gregory, II, of Cyprus, Patriarch of Constantinople, 1241-1290",1300 CE
urn:cts:greekLit:tlg2022,"Gregory, of Nazianzus, Saint",400 CE
urn:cts:greekLit:tlg2017,"Gregory, of Nyssa, Saint, 335-394",400 CE
urn:cts:greekLit:tlg2063,"Gregory, Thaumaturgus, Saint, approximately 213-approximately 270",300 CE
urn:cts:greekLit:tlg0666,"Adrianus, of Tyre, ca. 113-ca. 193",200 CE
urn:cts:greekLit:tlg2259,"Habron, Atheniensis, ca. 2.Jh.v.Chr",200 BCE
urn:cts:greekLit:tlg0195,"Hadrian, Emperor of Rome, 76-138.",100 CE-200 CE
urn:cts:greekLit:tlg1387,"Hagias, Historicus, v4./3. Jh",400 BCE-300 BCE
urn:cts:greekLit:tlg0064,Hanno,400 BCE
urn:cts:greekLit:tlg1388,"Harmodius, Lepreates, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg0720,Harmodius Tarsensis v1. Jh,100 BCE
urn:cts:greekLit:tlg1389,"Harpocration, Valerius",200 CE
urn:cts:greekLit:tlg0913,"Harpocration, Alexandrinus, 1. Jh. n. Chr.",100 CE-300 CE
urn:cts:greekLit:tlg1390,"Hecataeus, Abderita, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0538,"Hecataeus, of Miletus",600 BCE-500 BCE
urn:cts:greekLit:tlg0196,Hecataeus Thasius,300 BCE
urn:cts:greekLit:tlg0197,"Hedyle, Epigrammatica, 4./3. Jh. v. Chr.",400 BCE-300 BCE
urn:cts:greekLit:tlg0198,"Hedylus,  Samius, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1391,"Hegemon, Epigrammaticus, 3. Jh. v. Chr",300 BCE
urn:cts:greekLit:tlg0463,"Hegemon, Thasius, 5. Jh. v. Chr.",500 BCE
urn:cts:greekLit:tlg1392,"Hegesander, Delphicus, 2. Jh. v. Chr.",200 CE
urn:cts:greekLit:tlg1393,"Hegesianax, Alexandrinus, 2. Jh. v. Chr.",300 BCE-200 BCE
urn:cts:greekLit:tlg1394,"Hegesias, Magnes, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1395,"Hegesinus, Epicus, ca. 2.Jh.n.Chr",200 CE
urn:cts:greekLit:tlg0464,"Hegesippus, Comicus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1396,"Hegesippus, Epigrammaticus, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg1397,"Hegesippus, Mecybernaeus, v4. Jh.",300 BCE
urn:cts:greekLit:tlg0750,"Heliodorus, Atheniensis",100 BCE
urn:cts:greekLit:tlg4367,Heliodorus Philosopher of Alexandria,400 CE
urn:cts:greekLit:tlg0658,"Heliodorus, of Emesa",200 CE-400 CE
urn:cts:greekLit:tlg0692,"Heliodorus, Medicus, 1./2. Jh. n. Chr.",100 CE-200 CE
urn:cts:greekLit:tlg1400,"Heliodorus, Periegeta, 2. Jh. v. Chr.",200 BCE
urn:cts:greekLit:tlgnone,"Heliodorus, of Prusa",Unknown
urn:cts:greekLit:tlg1401,"Helladius, Epigrammaticus, 2. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg0539,"Hellanicus, of Lesbos",500 CE
urn:cts:greekLit:tlg0558,Hellenica Oxyrhynchia,400 BCE
urn:cts:greekLit:tlg0465,"Heniochus, Comicus, 357-355",400 BCE
urn:cts:greekLit:tlg2043,"Hephaestio, Thebanus, b. 380",400 CE
urn:cts:greekLit:tlg1402,Hephaestion,200 CE
urn:cts:greekLit:tlg0883,"Heraclas, Medicus, 1./2. Jh. n. Chr.",100 CE- 200 CE
urn:cts:greekLit:tlg0466,"Heraclides, Comicus, 4. Jh. v. Chr.",400 BCE
