work,words
urn:cts:greekLit:tlg0007.tlg146,2685
urn:cts:greekLit:tlg0007.tlg147,143
urn:cts:greekLit:tlg0008.tlg001,272694
urn:cts:greekLit:tlg0010.tlg001,1095
urn:cts:greekLit:tlg0010.tlg002,3559
urn:cts:greekLit:tlg0010.tlg003,1121
urn:cts:greekLit:tlg0010.tlg004,2901
urn:cts:greekLit:tlg0010.tlg005,3362
urn:cts:greekLit:tlg0010.tlg006,2924
urn:cts:greekLit:tlg0010.tlg007,2893
urn:cts:greekLit:tlg0010.tlg008,1324
urn:cts:greekLit:tlg0010.tlg009,3730
urn:cts:greekLit:tlg0010.tlg010,2748
urn:cts:greekLit:tlg0010.tlg011,10780
urn:cts:greekLit:tlg0010.tlg012,3191
urn:cts:greekLit:tlg0010.tlg013,3012
urn:cts:greekLit:tlg0010.tlg014,3736
urn:cts:greekLit:tlg0010.tlg015,4601
urn:cts:greekLit:tlg0010.tlg016,6129
urn:cts:greekLit:tlg0010.tlg017,7926
urn:cts:greekLit:tlg0010.tlg018,4578
urn:cts:greekLit:tlg0010.tlg019,17628
urn:cts:greekLit:tlg0010.tlg020,8771
urn:cts:greekLit:tlg0010.tlg021,15860
urn:cts:greekLit:tlg0010.tlg022,587
urn:cts:greekLit:tlg0010.tlg023,891
urn:cts:greekLit:tlg0010.tlg024,1143
urn:cts:greekLit:tlg0010.tlg025,667
urn:cts:greekLit:tlg0010.tlg026,780
urn:cts:greekLit:tlg0010.tlg027,1279
urn:cts:greekLit:tlg0010.tlg028,281
urn:cts:greekLit:tlg0010.tlg029,823
urn:cts:greekLit:tlg0010.tlg030,421
urn:cts:greekLit:tlg0011.tlg001,7294
urn:cts:greekLit:tlg0011.tlg002,7360
urn:cts:greekLit:tlg0011.tlg003,7718
urn:cts:greekLit:tlg0011.tlg004,9292
urn:cts:greekLit:tlg0011.tlg005,8704
urn:cts:greekLit:tlg0011.tlg006,8830
urn:cts:greekLit:tlg0011.tlg007,10400
urn:cts:greekLit:tlg0011.tlg008,1993
urn:cts:greekLit:tlg0012.tlg001,111895
urn:cts:greekLit:tlg0012.tlg002,87177
urn:cts:greekLit:tlg0012.tlg003,732
urn:cts:greekLit:tlg0013.tlg001,144
urn:cts:greekLit:tlg0013.tlg002,3373
urn:cts:greekLit:tlg0013.tlg003,3833
urn:cts:greekLit:tlg0013.tlg004,4031
urn:cts:greekLit:tlg0013.tlg005,2047
urn:cts:greekLit:tlg0013.tlg006,131
urn:cts:greekLit:tlg0013.tlg007,425
urn:cts:greekLit:tlg0013.tlg008,100
urn:cts:greekLit:tlg0013.tlg009,57
urn:cts:greekLit:tlg0013.tlg010,39
urn:cts:greekLit:tlg0013.tlg011,35
urn:cts:greekLit:tlg0013.tlg012,28
